query_id,family,contrast_type,pseudo_label_accept,question,answer,faithfulness,evidence_coverage,unsupported_terms
metier_005,metier_competences,true_context,1,Quelles competences sont associees au metier enseignant-chercheur en médecine/enseignante-chercheuse en médecine ?,"Pour le metier enseignant-chercheur en médecine/enseignante-chercheuse en médecine, Neo4j relie 133 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer des données de recherche, néphrologie, aider à l’organisation d’événements scolaires, microbiologie-bactériologie.",0.7692,0.7407,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_005,metier_competences,shuffled_context,0,Quelles competences sont associees au metier enseignant-chercheur en médecine/enseignante-chercheuse en médecine ?,"Pour le metier enseignant-chercheur en médecine/enseignante-chercheuse en médecine, Neo4j relie 133 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer des données de recherche, néphrologie, aider à l’organisation d’événements scolaires, microbiologie-bactériologie.",0.0769,0.0588,"[""aider"", ""articles"", ""citent"", ""documents"", ""données"", ""enseignant-chercheur"", ""enseignante-chercheuse"", ""gérer"", ""microbiologie-bactériologie"", ""médecine"", ""neo4j"", ""notamment"", ""néphrologie"", ""organisation"", ""preuves""]"
metier_006,metier_competences,true_context,1,Quelles competences sont associees au metier ingénieur en matériel informatique/ingénieure en matériel informatique ?,"Pour le metier ingénieur en matériel informatique/ingénieure en matériel informatique, Neo4j relie 132 competences. Les preuves recuperees citent notamment : Haskell, rédiger des documents scientifiques ou articles universitaires et des documents techniques, Erlang, SAS language, gérer des données de recherche.",0.75,0.6207,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_006,metier_competences,shuffled_context,0,Quelles competences sont associees au metier ingénieur en matériel informatique/ingénieure en matériel informatique ?,"Pour le metier ingénieur en matériel informatique/ingénieure en matériel informatique, Neo4j relie 132 competences. Les preuves recuperees citent notamment : Haskell, rédiger des documents scientifiques ou articles universitaires et des documents techniques, Erlang, SAS language, gérer des données de recherche.",0.4583,0.4074,"[""citent"", ""erlang"", ""haskell"", ""informatique"", ""ingénieur"", ""ingénieure"", ""language"", ""matériel"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_007,metier_competences,true_context,1,Quelles competences sont associees au metier technicien de biologie médicale/technicienne de biologie médicale ?,"Pour le metier technicien de biologie médicale/technicienne de biologie médicale, Neo4j relie 127 competences. Les preuves recuperees citent notamment : réaliser des études toxicologiques, sciences biomédicales, trouver des solutions aux problèmes, techniques de prélèvement sanguin, hygiène en milieu médical.",0.7692,0.5882,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_007,metier_competences,shuffled_context,0,Quelles competences sont associees au metier technicien de biologie médicale/technicienne de biologie médicale ?,"Pour le metier technicien de biologie médicale/technicienne de biologie médicale, Neo4j relie 127 competences. Les preuves recuperees citent notamment : réaliser des études toxicologiques, sciences biomédicales, trouver des solutions aux problèmes, techniques de prélèvement sanguin, hygiène en milieu médical.",0.0,0.0,"[""biologie"", ""biomédicales"", ""citent"", ""competences"", ""hygiène"", ""metier"", ""milieu"", ""médical"", ""médicale"", ""neo4j"", ""notamment"", ""preuves"", ""problèmes"", ""prélèvement"", ""recuperees""]"
metier_008,metier_competences,true_context,1,Quelles competences sont associees au metier ingénieur électromécanicien/ingénieure électromécanicienne ?,"Pour le metier ingénieur électromécanicien/ingénieure électromécanicienne, Neo4j relie 122 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, structure de l’information, gérer des données de recherche, recueillir des informations techniques, mener des recherches documentaires.",0.7857,0.6875,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_008,metier_competences,shuffled_context,0,Quelles competences sont associees au metier ingénieur électromécanicien/ingénieure électromécanicienne ?,"Pour le metier ingénieur électromécanicien/ingénieure électromécanicienne, Neo4j relie 122 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, structure de l’information, gérer des données de recherche, recueillir des informations techniques, mener des recherches documentaires.",0.0,0.0,"[""articles"", ""citent"", ""competences"", ""documentaires"", ""documents"", ""données"", ""gérer"", ""information"", ""informations"", ""ingénieur"", ""ingénieure"", ""mener"", ""metier"", ""neo4j"", ""notamment""]"
metier_009,metier_competences,true_context,1,Quelles competences sont associees au metier travailleur social/travailleuse sociale ?,"Pour le metier travailleur social/travailleuse sociale, Neo4j relie 121 competences. Les preuves recuperees citent notamment : appliquer des pratiques de travail social anti-oppressif, intervenir dans la rue dans le cadre de l’action sociale, donner des conseils en matière sociale, soutenir les usagers des services sociaux en fin de vie, théories du travail social.",0.7778,0.6364,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_009,metier_competences,shuffled_context,0,Quelles competences sont associees au metier travailleur social/travailleuse sociale ?,"Pour le metier travailleur social/travailleuse sociale, Neo4j relie 121 competences. Les preuves recuperees citent notamment : appliquer des pratiques de travail social anti-oppressif, intervenir dans la rue dans le cadre de l’action sociale, donner des conseils en matière sociale, soutenir les usagers des services sociaux en fin de vie, théories du travail social.",0.0741,0.0606,"[""action"", ""anti-oppressif"", ""appliquer"", ""cadre"", ""citent"", ""conseils"", ""donner"", ""intervenir"", ""matière"", ""neo4j"", ""notamment"", ""pratiques"", ""preuves"", ""recuperees"", ""relie""]"
metier_010,metier_competences,true_context,1,Quelles competences sont associees au metier psychologue clinicien/psychologue clinicienne ?,"Pour le metier psychologue clinicien/psychologue clinicienne, Neo4j relie 120 competences. Les preuves recuperees citent notamment : réagir aux changements dans le secteur de la santé, rapports cliniques, prescrire un traitement psychothérapeutique, sensibiliser à la prévention des maladies, informer les décideurs sur les problèmes liés à la santé.",0.7778,0.6,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_010,metier_competences,shuffled_context,0,Quelles competences sont associees au metier psychologue clinicien/psychologue clinicienne ?,"Pour le metier psychologue clinicien/psychologue clinicienne, Neo4j relie 120 competences. Les preuves recuperees citent notamment : réagir aux changements dans le secteur de la santé, rapports cliniques, prescrire un traitement psychothérapeutique, sensibiliser à la prévention des maladies, informer les décideurs sur les problèmes liés à la santé.",0.0,0.0,"[""changements"", ""citent"", ""clinicien"", ""clinicienne"", ""cliniques"", ""competences"", ""décideurs"", ""informer"", ""liés"", ""maladies"", ""metier"", ""neo4j"", ""notamment"", ""prescrire"", ""preuves""]"
metier_011,metier_competences,true_context,1,Quelles competences sont associees au metier ingénieur militaire/ingénieure militaire ?,"Pour le metier ingénieur militaire/ingénieure militaire, Neo4j relie 120 competences. Les preuves recuperees citent notamment : gérer des fournitures, utiliser un équipement radio, modélisation mathématique, gestion de projets par méthode Agile, zones géographiques.",0.75,0.6429,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_011,metier_competences,shuffled_context,0,Quelles competences sont associees au metier ingénieur militaire/ingénieure militaire ?,"Pour le metier ingénieur militaire/ingénieure militaire, Neo4j relie 120 competences. Les preuves recuperees citent notamment : gérer des fournitures, utiliser un équipement radio, modélisation mathématique, gestion de projets par méthode Agile, zones géographiques.",0.0417,0.05,"[""agile"", ""citent"", ""competences"", ""fournitures"", ""gestion"", ""géographiques"", ""gérer"", ""ingénieur"", ""ingénieure"", ""mathématique"", ""metier"", ""militaire"", ""modélisation"", ""méthode"", ""neo4j""]"
metier_012,metier_competences,true_context,1,Quelles competences sont associees au metier biologiste en aquaculture ?,"Pour le metier biologiste en aquaculture, Neo4j relie 119 competences. Les preuves recuperees citent notamment : mener des recherches sur la flore, rédiger des documents scientifiques ou articles universitaires et des documents techniques, sciences du vivant, gérer des données de recherche, surveiller les taux de mortalité de poissons.",0.7857,0.6667,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_012,metier_competences,shuffled_context,0,Quelles competences sont associees au metier biologiste en aquaculture ?,"Pour le metier biologiste en aquaculture, Neo4j relie 119 competences. Les preuves recuperees citent notamment : mener des recherches sur la flore, rédiger des documents scientifiques ou articles universitaires et des documents techniques, sciences du vivant, gérer des données de recherche, surveiller les taux de mortalité de poissons.",0.0714,0.0625,"[""aquaculture"", ""articles"", ""biologiste"", ""citent"", ""documents"", ""données"", ""flore"", ""gérer"", ""mener"", ""mortalité"", ""neo4j"", ""notamment"", ""poissons"", ""preuves"", ""recherche""]"
metier_013,metier_competences,true_context,1,Quelles competences sont associees au metier journaliste ?,"Pour le metier journaliste, Neo4j relie 119 competences. Les preuves recuperees citent notamment : inscrire des sujets d’actualité dans leur contexte, littérature, poser des questions lors d’évènements, retoucher des négatifs, partis politiques.",0.7391,0.5862,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_013,metier_competences,shuffled_context,0,Quelles competences sont associees au metier journaliste ?,"Pour le metier journaliste, Neo4j relie 119 competences. Les preuves recuperees citent notamment : inscrire des sujets d’actualité dans leur contexte, littérature, poser des questions lors d’évènements, retoucher des négatifs, partis politiques.",0.087,0.0541,"[""actualité"", ""citent"", ""contexte"", ""inscrire"", ""journaliste"", ""leur"", ""littérature"", ""lors"", ""neo4j"", ""notamment"", ""négatifs"", ""partis"", ""politiques"", ""poser"", ""preuves""]"
metier_014,metier_competences,true_context,1,Quelles competences sont associees au metier ingénieur opticien/ingénieure opticienne ?,"Pour le metier ingénieur opticien/ingénieure opticienne, Neo4j relie 118 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, interpréter les diagrammes de circuits, instruments électro-optiques, gérer des données de recherche, normes sur les instruments optiques.",0.7857,0.6286,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_014,metier_competences,shuffled_context,0,Quelles competences sont associees au metier ingénieur opticien/ingénieure opticienne ?,"Pour le metier ingénieur opticien/ingénieure opticienne, Neo4j relie 118 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, interpréter les diagrammes de circuits, instruments électro-optiques, gérer des données de recherche, normes sur les instruments optiques.",0.0714,0.069,"[""articles"", ""circuits"", ""citent"", ""diagrammes"", ""documents"", ""données"", ""gérer"", ""ingénieur"", ""ingénieure"", ""instruments"", ""interpréter"", ""neo4j"", ""normes"", ""notamment"", ""opticien""]"
metier_015,metier_competences,true_context,1,Quelles competences sont associees au metier développeur de base de données/développeuse de base de données ?,"Pour le metier développeur de base de données/développeuse de base de données, Neo4j relie 116 competences. Les preuves recuperees citent notamment : Haskell, Erlang, trouver des solutions aux problèmes, SAS language, utiliser une interface spécifique à une application.",0.7273,0.64,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_015,metier_competences,shuffled_context,0,Quelles competences sont associees au metier développeur de base de données/développeuse de base de données ?,"Pour le metier développeur de base de données/développeuse de base de données, Neo4j relie 116 competences. Les preuves recuperees citent notamment : Haskell, Erlang, trouver des solutions aux problèmes, SAS language, utiliser une interface spécifique à une application.",0.0,0.0,"[""application"", ""base"", ""citent"", ""competences"", ""données"", ""développeur"", ""développeuse"", ""erlang"", ""haskell"", ""interface"", ""language"", ""metier"", ""neo4j"", ""notamment"", ""preuves""]"
metier_016,metier_competences,true_context,1,Quelles competences sont associees au metier chargé de mission/chargée de mission ?,"Pour le metier chargé de mission/chargée de mission, Neo4j relie 116 competences. Les preuves recuperees citent notamment : trouver des solutions aux problèmes, gérer des programmes de financement public, effectuer des recherches stratégiques, appliquer la gestion des conflits, élaborer des politiques agricoles.",0.7778,0.7,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_016,metier_competences,shuffled_context,0,Quelles competences sont associees au metier chargé de mission/chargée de mission ?,"Pour le metier chargé de mission/chargée de mission, Neo4j relie 116 competences. Les preuves recuperees citent notamment : trouver des solutions aux problèmes, gérer des programmes de financement public, effectuer des recherches stratégiques, appliquer la gestion des conflits, élaborer des politiques agricoles.",0.0,0.0,"[""agricoles"", ""appliquer"", ""chargé"", ""chargée"", ""citent"", ""competences"", ""conflits"", ""effectuer"", ""financement"", ""gestion"", ""gérer"", ""metier"", ""mission"", ""neo4j"", ""notamment""]"
metier_017,metier_competences,true_context,1,Quelles competences sont associees au metier professeur d’enseignement professionnel/professeure d’enseignement professionnel ?,"Pour le metier professeur d’enseignement professionnel/professeure d’enseignement professionnel, Neo4j relie 115 competences. Les preuves recuperees citent notamment : hygiène en milieu médical, réagir aux changements dans le secteur de la santé, applications de freinage d'une locomotive, zones géographiques, garantir la sécurité d’élèves.",0.7857,0.6471,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_017,metier_competences,shuffled_context,0,Quelles competences sont associees au metier professeur d’enseignement professionnel/professeure d’enseignement professionnel ?,"Pour le metier professeur d’enseignement professionnel/professeure d’enseignement professionnel, Neo4j relie 115 competences. Les preuves recuperees citent notamment : hygiène en milieu médical, réagir aux changements dans le secteur de la santé, applications de freinage d'une locomotive, zones géographiques, garantir la sécurité d’élèves.",0.0,0.0,"[""applications"", ""changements"", ""citent"", ""competences"", ""d'une"", ""enseignement"", ""freinage"", ""garantir"", ""géographiques"", ""hygiène"", ""locomotive"", ""metier"", ""milieu"", ""médical"", ""neo4j""]"
metier_018,metier_competences,true_context,1,Quelles competences sont associees au metier enseignant-chercheur en travail social/enseignante-chercheuse en travail social ?,"Pour le metier enseignant-chercheur en travail social/enseignante-chercheuse en travail social, Neo4j relie 115 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer des données de recherche, donner des conseils en matière sociale, aider à l’organisation d’événements scolaires, théories du travail social.",0.8,0.6486,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_018,metier_competences,shuffled_context,0,Quelles competences sont associees au metier enseignant-chercheur en travail social/enseignante-chercheuse en travail social ?,"Pour le metier enseignant-chercheur en travail social/enseignante-chercheuse en travail social, Neo4j relie 115 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer des données de recherche, donner des conseils en matière sociale, aider à l’organisation d’événements scolaires, théories du travail social.",0.0667,0.0625,"[""aider"", ""articles"", ""citent"", ""conseils"", ""documents"", ""donner"", ""données"", ""enseignant-chercheur"", ""enseignante-chercheuse"", ""gérer"", ""matière"", ""neo4j"", ""notamment"", ""organisation"", ""preuves""]"
metier_019,metier_competences,true_context,1,Quelles competences sont associees au metier responsable de service social ?,"Pour le metier responsable de service social, Neo4j relie 114 competences. Les preuves recuperees citent notamment : gérer les problèmes des enfants, appliquer la gestion des conflits, mettre en œuvre des stratégies de marketing, service clients, entretenir des relations avec des représentants locaux.",0.7692,0.6452,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_019,metier_competences,shuffled_context,0,Quelles competences sont associees au metier responsable de service social ?,"Pour le metier responsable de service social, Neo4j relie 114 competences. Les preuves recuperees citent notamment : gérer les problèmes des enfants, appliquer la gestion des conflits, mettre en œuvre des stratégies de marketing, service clients, entretenir des relations avec des représentants locaux.",0.0,0.0,"[""appliquer"", ""citent"", ""clients"", ""competences"", ""conflits"", ""enfants"", ""entretenir"", ""gestion"", ""gérer"", ""locaux"", ""marketing"", ""metier"", ""mettre"", ""neo4j"", ""notamment""]"
metier_020,metier_competences,true_context,1,Quelles competences sont associees au metier responsable des relations publiques ?,"Pour le metier responsable des relations publiques, Neo4j relie 113 competences. Les preuves recuperees citent notamment : appliquer des principes diplomatiques, trouver des solutions aux problèmes, intégrer des fondements stratégiques dans les activités courantes, partis politiques, mettre en œuvre des stratégies de marketing.",0.7857,0.6875,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_020,metier_competences,shuffled_context,0,Quelles competences sont associees au metier responsable des relations publiques ?,"Pour le metier responsable des relations publiques, Neo4j relie 113 competences. Les preuves recuperees citent notamment : appliquer des principes diplomatiques, trouver des solutions aux problèmes, intégrer des fondements stratégiques dans les activités courantes, partis politiques, mettre en œuvre des stratégies de marketing.",0.0,0.0,"[""activités"", ""appliquer"", ""citent"", ""competences"", ""courantes"", ""diplomatiques"", ""fondements"", ""intégrer"", ""marketing"", ""metier"", ""mettre"", ""neo4j"", ""notamment"", ""partis"", ""politiques""]"
metier_021,metier_competences,true_context,1,Quelles competences sont associees au metier concepteur d’entrepôt de données/conceptrice d’entrepôt de données ?,"Pour le metier concepteur d’entrepôt de données/conceptrice d’entrepôt de données, Neo4j relie 110 competences. Les preuves recuperees citent notamment : Haskell, transférer des données existantes, définir la structure physique de la base de données, Erlang, structure de l’information.",0.7143,0.5556,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_021,metier_competences,shuffled_context,0,Quelles competences sont associees au metier concepteur d’entrepôt de données/conceptrice d’entrepôt de données ?,"Pour le metier concepteur d’entrepôt de données/conceptrice d’entrepôt de données, Neo4j relie 110 competences. Les preuves recuperees citent notamment : Haskell, transférer des données existantes, définir la structure physique de la base de données, Erlang, structure de l’information.",0.0,0.0,"[""base"", ""citent"", ""competences"", ""concepteur"", ""conceptrice"", ""données"", ""définir"", ""entrepôt"", ""erlang"", ""existantes"", ""haskell"", ""information"", ""metier"", ""neo4j"", ""notamment""]"
metier_022,metier_competences,true_context,1,Quelles competences sont associees au metier musicothérapeute ?,"Pour le metier musicothérapeute, Neo4j relie 110 competences. Les preuves recuperees citent notamment : réagir aux changements dans le secteur de la santé, sensibiliser à la prévention des maladies, informer les décideurs sur les problèmes liés à la santé, diagnostic psychiatrique, créer des mélodies originales.",0.76,0.6129,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_022,metier_competences,shuffled_context,0,Quelles competences sont associees au metier musicothérapeute ?,"Pour le metier musicothérapeute, Neo4j relie 110 competences. Les preuves recuperees citent notamment : réagir aux changements dans le secteur de la santé, sensibiliser à la prévention des maladies, informer les décideurs sur les problèmes liés à la santé, diagnostic psychiatrique, créer des mélodies originales.",0.0,0.0,"[""changements"", ""citent"", ""competences"", ""créer"", ""diagnostic"", ""décideurs"", ""informer"", ""liés"", ""maladies"", ""metier"", ""musicothérapeute"", ""mélodies"", ""neo4j"", ""notamment"", ""originales""]"
metier_023,metier_competences,true_context,1,Quelles competences sont associees au metier ingénieur en automatismes/ingénieure en automatismes ?,"Pour le metier ingénieur en automatismes/ingénieure en automatismes, Neo4j relie 109 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer des données de recherche, recueillir des informations techniques, mener des recherches documentaires, communiquer avec des clients.",0.7778,0.6364,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_023,metier_competences,shuffled_context,0,Quelles competences sont associees au metier ingénieur en automatismes/ingénieure en automatismes ?,"Pour le metier ingénieur en automatismes/ingénieure en automatismes, Neo4j relie 109 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer des données de recherche, recueillir des informations techniques, mener des recherches documentaires, communiquer avec des clients.",0.0741,0.0606,"[""articles"", ""automatismes"", ""citent"", ""clients"", ""communiquer"", ""documentaires"", ""documents"", ""données"", ""gérer"", ""informations"", ""ingénieur"", ""ingénieure"", ""mener"", ""neo4j"", ""notamment""]"
metier_024,metier_competences,true_context,1,Quelles competences sont associees au metier responsable du marketing ?,"Pour le metier responsable du marketing, Neo4j relie 109 competences. Les preuves recuperees citent notamment : connaissance du client, mots-clés dans du contenu numérique, intégrer des fondements stratégiques dans les activités courantes, planifier une stratégie de marketing, exécuter simultanément plusieurs tâches.",0.7692,0.6897,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_024,metier_competences,shuffled_context,0,Quelles competences sont associees au metier responsable du marketing ?,"Pour le metier responsable du marketing, Neo4j relie 109 competences. Les preuves recuperees citent notamment : connaissance du client, mots-clés dans du contenu numérique, intégrer des fondements stratégiques dans les activités courantes, planifier une stratégie de marketing, exécuter simultanément plusieurs tâches.",0.0,0.0,"[""activités"", ""citent"", ""client"", ""competences"", ""connaissance"", ""contenu"", ""courantes"", ""exécuter"", ""fondements"", ""intégrer"", ""marketing"", ""metier"", ""mots-clés"", ""neo4j"", ""notamment""]"
competence_000,competence_offres,true_context,1,Quelles offres demandent la competence comptabilité ?,"La competence comptabilité est reliee a 748 offres dans Neo4j. Les offres recuperees incluent : 02 ACADEMIC AFFAIRS COORDINATORS, COMPTABLE (H/F), 02 FINANCE ASSISTANTS, SAFECARE Project, FINANCE ASSISTANT, National UN Volunteer, CONTROLEURS PERMANENTS STAGIAIRES.",0.8095,0.7727,"[""incluent"", ""neo4j"", ""recuperees"", ""reliee""]"
competence_000,competence_offres,shuffled_context,0,Quelles offres demandent la competence comptabilité ?,"La competence comptabilité est reliee a 748 offres dans Neo4j. Les offres recuperees incluent : 02 ACADEMIC AFFAIRS COORDINATORS, COMPTABLE (H/F), 02 FINANCE ASSISTANTS, SAFECARE Project, FINANCE ASSISTANT, National UN Volunteer, CONTROLEURS PERMANENTS STAGIAIRES.",0.0,0.0,"[""academic"", ""affairs"", ""assistant"", ""assistants"", ""competence"", ""comptabilité"", ""comptable"", ""controleurs"", ""coordinators"", ""finance"", ""incluent"", ""national"", ""neo4j"", ""offres"", ""permanents""]"
competence_001,competence_offres,true_context,1,Quelles offres demandent la competence assurer la liaison avec les membres du conseil d’administration ?,"La competence assurer la liaison avec les membres du conseil d’administration est reliee a 699 offres dans Neo4j. Les offres recuperees incluent : 02 ASSISTANTS(ES) COMPTABLES, ASSISTANT ADMINISTRATIF H/F, Assistante de Direction, SECRETAIRE COMPTABLE, CHARGE DE LA PLANIFICATION.",0.8095,0.7727,"[""incluent"", ""neo4j"", ""recuperees"", ""reliee""]"
