community_id,n_nodes,dominant_label,labels_resume,competences_exemples
16,73,Candidat,Candidat:38; OffreEmploi:21; Compétence:13; Secteur:1,aider les utilisateurs de soins de santé à être autonomes; garantir la santé et la sécurité dans une opération de fabrication; biologie médicale; chimie inorganique; système de santé; évaluer les services de santé au sein d’une communauté; services de santé psychologique; examiner des questions de santé publique
17,56,Candidat,Candidat:25; OffreEmploi:21; Compétence:10,enquêter sur divers sujets; favoriser les relations avec divers types de transporteurs; suivre une économie nationale; se tenir au courant d’innovations dans divers secteurs économiques; nouer le dialogue avec divers groupes de jeunes; économie politique; économie; enseigner l’économie domestique
18,55,OffreEmploi,OffreEmploi:38; Compétence:11; Localisation:4; Secteur:2,coordonner les opérations d’un puits de pétrole; nettoyer des déversements de pétrole; connecter des têtes de puits de pétrole; bulgare; gérer des fluides de production dans la production de pétrole; slovaque; mesurer la température de réservoirs de pétrole; pétrole
19,20,OffreEmploi,OffreEmploi:18; Localisation:1; Secteur:1,
20,1,Localisation,Localisation:1,
21,1,Compétence,Compétence:1,vendre des logiciels de jeux
22,1,Compétence,Compétence:1,former un lit pour du verre
23,1,Compétence,Compétence:1,élaborer des régimes alimentaires avec des aliments pour animaux
24,1,Compétence,Compétence:1,intervenir en tant qu'assistant pour assurer l’hémostase
25,1,Compétence,Compétence:1,fabrication de matelas
26,1,Secteur,Secteur:1,
27,1,Localisation,Localisation:1,
28,1,Compétence,Compétence:1,utiliser un laminoir à froid
29,1,Compétence,Compétence:1,techniques d’analyse qualitative des risques
30,1,Secteur,Secteur:1,
31,1,Compétence,Compétence:1,manipuler des cylindres
32,1,Compétence,Compétence:1,domaines d’application de la technologie de la blockchain
33,1,Compétence,Compétence:1,retirer la surface d’une chaussée
34,1,Secteur,Secteur:1,
35,1,Compétence,Compétence:1,assurer l'alimentation électrique du système de tramway
36,1,Secteur,Secteur:1,
37,1,Compétence,Compétence:1,reprendre le contrôle des pédales
38,1,Compétence,Compétence:1,utiliser des outils de câblage manuels
39,1,Compétence,Compétence:1,utiliser des outils d’exploitation minière
40,1,Compétence,Compétence:1,inspecter une gravure
41,1,Compétence,Compétence:1,utiliser un broyeur à marteau
42,1,Compétence,Compétence:1,droit international en matière de droits humains
43,1,Compétence,Compétence:1,systèmes de guichets automatiques
44,1,Compétence,Compétence:1,intervenir en tant qu'assistant lors de procédures de diagnostic vétérinaire
45,1,Compétence,Compétence:1,offrir des services de conduite haut de gamme
46,1,Secteur,Secteur:1,
47,1,Compétence,Compétence:1,législation sur les paris
48,1,Compétence,Compétence:1,effectuer un contrôle qualité avant assemblage
49,1,Compétence,Compétence:1,pédagogie du théâtre
50,1,Compétence,Compétence:1,gérer des déchets de capture de poissons
51,1,Compétence,Compétence:1,utiliser un grattoir
52,1,Compétence,Compétence:1,organiser des expositions zoologiques
53,1,Compétence,Compétence:1,rassembler les affaires des visiteurs
54,1,Compétence,Compétence:1,évaluer la qualité de services
55,1,Compétence,Compétence:1,élever des bovins
56,1,Compétence,Compétence:1,recouvrir des jointures avec du mastic
57,1,Compétence,Compétence:1,mesurer le temps de travail dans la production de marchandises
58,1,Secteur,Secteur:1,
59,1,Compétence,Compétence:1,mettre en œuvre des constructions cryptographiques
60,1,Compétence,Compétence:1,entretenir des noyaux
61,1,Compétence,Compétence:1,sélectionner des prises vidéo
62,1,Compétence,Compétence:1,identifier de nouvelles opportunités de recyclage
63,1,Compétence,Compétence:1,perte d’audition
64,1,Compétence,Compétence:1,suivre des stratégies de pari
65,1,Compétence,Compétence:1,tenir un inventaire forestier
66,1,Compétence,Compétence:1,préparer l’autorisation de régulation des vols
67,1,Compétence,Compétence:1,gérer le personnel d'un zoo
68,1,Compétence,Compétence:1,fixer des girons et des contremarches
69,1,Compétence,Compétence:1,réaliser des inspections de pont sous-marines
70,1,Compétence,Compétence:1,nettoyer des forêts
71,1,Compétence,Compétence:1,partager les règles de bonne pratique entre des filiales
72,1,Compétence,Compétence:1,utiliser un chalumeau soudeur oxygaz
73,1,Compétence,Compétence:1,développer des supports de formation en fabrication biochimique
74,1,Compétence,Compétence:1,enseigner les méthodes de communication
75,1,Compétence,Compétence:1,organiser des compositions
76,1,Secteur,Secteur:1,
77,1,Compétence,Compétence:1,sensibiliser le public à la faune sauvage
78,1,Compétence,Compétence:1,créer des possibilités de progression en sport
79,1,Compétence,Compétence:1,résoudre des problèmes de formulation de produits cosmétiques
80,1,Compétence,Compétence:1,lire une fiche technique
81,1,Compétence,Compétence:1,mobilité en tant que service
82,1,Localisation,Localisation:1,
83,1,Compétence,Compétence:1,rédiger des textes professionnels
84,1,Compétence,Compétence:1,encrer des plaques d'impression
85,1,Compétence,Compétence:1,nettoyer le mobilier public
86,1,Compétence,Compétence:1,inspecter du bois
87,1,Compétence,Compétence:1,processus de maltage
88,1,Compétence,Compétence:1,définir des modèles statistiques
89,1,Compétence,Compétence:1,stocker des paillettes de savon
90,1,Compétence,Compétence:1,demander un financement pour une bibliothèque
91,1,Compétence,Compétence:1,techniques de commercialisation de textiles
92,1,Compétence,Compétence:1,installer des éclairages de scène
93,1,Compétence,Compétence:1,relever un compteur d’eau
94,1,Compétence,Compétence:1,réaliser des échographies
95,1,Compétence,Compétence:1,cirer des meubles
96,1,Compétence,Compétence:1,dénuder des câbles
97,1,Compétence,Compétence:1,basque
98,1,Compétence,Compétence:1,sélectionner les animaux pour les interventions thérapeutiques
99,1,Compétence,Compétence:1,aider des clients ayant des problèmes capillaires
